"artifactName","packagesInArtifactCount","packagesCount","packageSpread","typesInArtifactCount","typesCount","typesSpread","dependencyArtifactName","dependencyTypeIsInterface","dependencyPackagesCount","dependencyTypesCount","someDependencyPackages","someDependencyTypes","someCallingPackages","someCallingTypes","Source Cypher File: Artifact_Dependencies/Artifacts_with_dependencies_to_other_artifacts.cypher"
"axon-modelling-4.10.3",10,9,90.0,158,79,50.0,"axon-messaging-4.10.3",false,14,46,"org.axonframework.commandhandling,org.axonframework.common","NoHandlerForCommandException,RoutingKey,AxonConfigurationException,Assert","org.axonframework.modelling.command,org.axonframework.modelling.command.inspection","AggregateAnnotationCommandHandler,AnnotatedAggregate,TargetAggregateIdentifier,AnnotatedSagaRepository$Builder",""
"axon-modelling-4.10.3",10,9,90.0,158,90,56.96,"axon-messaging-4.10.3",true,15,39,"org.axonframework.commandhandling,org.axonframework.common","CommandMessageHandlingMember,CommandMessage,CommandBus,CommandMessageHandler","org.axonframework.modelling.command,org.axonframework.modelling.command.inspection","AggregateAnnotationCommandHandler,ChildForwardingCommandMessageHandlingMember,AnnotatedChildEntity,AnnotatedAggregateMetaModelFactory$AnnotatedAggregateModel",""
"axon-eventsourcing-4.10.3",9,9,100.0,133,75,56.39,"axon-messaging-4.10.3",true,17,40,"org.axonframework.commandhandling,org.axonframework.common.caching","CommandMessage,Cache,JdbcUtils$SqlResultConverter,PersistenceExceptionResolver","org.axonframework.eventsourcing.conflictresolution,org.axonframework.eventsourcing","ConflictResolution,CachingEventSourcingRepository,EventSourcingRepository$Builder,JdbcEventStorageEngine",""
"axon-eventsourcing-4.10.3",9,9,100.0,133,44,33.08,"axon-messaging-4.10.3",false,12,40,"org.axonframework.common,org.axonframework.common.io","AxonConfigurationException,Assert,AxonThreadFactory,ExceptionUtils","org.axonframework.eventsourcing.eventstore.jpa,org.axonframework.eventsourcing.eventstore","SQLErrorCodesResolver,EmbeddedEventStore$Builder,AbstractEventStore$Builder,AbstractEventStorageEngine$Builder",""
"axon-test-4.10.3",8,8,100.0,87,29,33.33,"axon-messaging-4.10.3",false,8,38,"org.axonframework.commandhandling,org.axonframework.commandhandling.gateway","GenericCommandResultMessage,SimpleCommandBus,AnnotationCommandHandlerAdapter,SimpleCommandBus$Builder","org.axonframework.test.utils,org.axonframework.test.aggregate","RecordingCommandBus,AggregateTestFixture,SagaTestFixture$StubAwareCommandGatewayFactory$Builder,SagaTestFixture$StubAwareCommandGatewayFactory",""
"axon-server-connector-4.10.3",11,8,72.73,136,60,44.12,"axon-messaging-4.10.3",true,19,58,"org.axonframework.commandhandling,org.axonframework.commandhandling.distributed","DuplicateCommandHandlerResolver,CommandMessage,CommandResultMessage,CommandBus","org.axonframework.axonserver.connector,org.axonframework.axonserver.connector.command","ServerConnectorConfigurerModule,AxonServerCommandBus,CommandSerializer,CommandPriorityCalculator",""
"axon-server-connector-4.10.3",11,7,63.64,136,47,34.56,"axon-messaging-4.10.3",false,20,73,"org.axonframework.commandhandling,org.axonframework.commandhandling.callbacks","GenericCommandResultMessage,CommandExecutionException,NoHandlerForCommandException,LoggingDuplicateCommandHandlerResolver","org.axonframework.axonserver.connector.command,org.axonframework.axonserver.connector","CommandSerializer,AxonServerCommandBus,ErrorCode,ServerConnectorConfigurerModule",""
"axon-test-4.10.3",8,7,87.5,87,35,40.23,"axon-messaging-4.10.3",true,10,31,"org.axonframework.commandhandling,org.axonframework.commandhandling.gateway","CommandMessage,CommandResultMessage,CommandBus,CommandCallback","org.axonframework.test.saga,org.axonframework.test.matchers","FixtureExecutionResult,Matchers,ResultValidatorImpl,CommandValidator",""
"axon-spring-boot-autoconfigure-4.10.3",9,5,55.56,75,18,24.0,"axon-messaging-4.10.3",true,22,44,"org.axonframework.commandhandling,org.axonframework.commandhandling.distributed","DuplicateCommandHandlerResolver,CommandMessage,CommandBus,CommandBusSpanFactory","org.axonframework.springboot.autoconfig,org.axonframework.springboot.autoconfig.legacyjpa","AxonAutoConfiguration,AxonServerBusAutoConfiguration,AxonTracingAutoConfiguration,AxonServerAutoConfiguration",""
"axon-server-connector-4.10.3",11,4,36.36,136,10,7.35,"axon-configuration-4.10.3",true,1,6,"org.axonframework.config","ModuleConfiguration,EventProcessingConfiguration,Configurer,SubscribableMessageSourceDefinition","org.axonframework.axonserver.connector.event.axon,org.axonframework.axonserver.connector.heartbeat","EventProcessorInfoConfiguration,HeartbeatConfiguration,EventProcessorControlService,ServerConnectorConfigurerModule",""
"axon-eventsourcing-4.10.3",9,4,44.44,133,12,9.02,"axon-modelling-4.10.3",false,2,10,"org.axonframework.modelling.command,org.axonframework.modelling.command.inspection","AbstractRepository$Builder,LockingRepository,LockAwareAggregate,LockingRepository$Builder","org.axonframework.eventsourcing,org.axonframework.eventsourcing.eventstore","EventSourcingRepository$Builder,EventSourcingRepository,AggregateDeletedException,AbstractEventStorageEngine",""
"axon-spring-boot-autoconfigure-4.10.3",9,3,33.33,75,8,10.67,"axon-server-connector-4.10.3",false,4,18,"org.axonframework.axonserver.connector,org.axonframework.axonserver.connector.query","AxonServerConfiguration,AxonServerConnectionManager$Builder,AxonServerConnectionManager,AxonServerConfiguration$PersistentStreamSettings","org.axonframework.springboot.autoconfig,org.axonframework.springboot.service.connection","AxonServerAutoConfiguration$ConnectionDetailsConnectionManagerConfiguration,AxonServerAutoConfiguration$DefaultConnectionManagerConfiguration,AxonServerAutoConfiguration,AxonServerBusAutoConfiguration",""
"axon-spring-boot-autoconfigure-4.10.3",9,3,33.33,75,14,18.67,"axon-configuration-4.10.3",true,1,9,"org.axonframework.config","ModuleConfiguration,EventProcessingConfigurer$PooledStreamingProcessorConfiguration,EventProcessingConfigurer$DeadLetteringInvokerConfiguration,EventProcessingConfiguration","org.axonframework.springboot.autoconfig,org.axonframework.springboot.util","InfraConfiguration,AxonAutoConfiguration,AxonServerAutoConfiguration,EventProcessingAutoConfiguration",""
"axon-test-4.10.3",8,3,37.5,87,11,12.64,"axon-modelling-4.10.3",false,5,15,"org.axonframework.modelling.command,org.axonframework.modelling.command.inspection","AggregateScopeDescriptor,AggregateAnnotationCommandHandler$Builder,AggregateNotFoundException,AggregateAnnotationCommandHandler","org.axonframework.test.aggregate,org.axonframework.test.saga","AggregateTestFixture$IdentifierValidatingRepository,AggregateTestFixture$InMemoryRepository,AggregateTestFixture,AggregateTestFixture$RecordingEventStore",""
"axon-spring-boot-autoconfigure-4.10.3",9,2,22.22,75,11,14.67,"axon-messaging-4.10.3",false,30,82,"org.axonframework.commandhandling,org.axonframework.commandhandling.distributed","LoggingDuplicateCommandHandlerResolver,DefaultCommandBusSpanFactory,SimpleCommandBus,DefaultCommandBusSpanFactory$Builder","org.axonframework.springboot.autoconfig,org.axonframework.springboot.autoconfig.legacyjpa","AxonAutoConfiguration,AxonTracingAutoConfiguration,AxonServerAutoConfiguration,JdbcAutoConfiguration",""
"axon-spring-boot-autoconfigure-4.10.3",9,2,22.22,75,7,9.33,"axon-eventsourcing-4.10.3",false,5,14,"org.axonframework.eventsourcing,org.axonframework.eventsourcing.eventstore","DefaultSnapshotterSpanFactory,DefaultSnapshotterSpanFactory$Builder,EmbeddedEventStore$Builder,EmbeddedEventStore","org.axonframework.springboot.autoconfig,org.axonframework.springboot.autoconfig.legacyjpa","AxonTracingAutoConfiguration,AxonAutoConfiguration,JdbcAutoConfiguration,JpaEventStoreAutoConfiguration",""
"axon-spring-boot-autoconfigure-4.10.3",9,2,22.22,75,6,8.0,"axon-eventsourcing-4.10.3",true,2,4,"org.axonframework.eventsourcing,org.axonframework.eventsourcing.eventstore","SnapshotterSpanFactory,Snapshotter,EventStore,EventStorageEngine","org.axonframework.springboot.autoconfig,org.axonframework.springboot.autoconfig.legacyjpa","AxonTracingAutoConfiguration,AxonAutoConfiguration,AxonServerBusAutoConfiguration,JpaJavaxEventStoreAutoConfiguration",""
"axon-server-connector-4.10.3",11,2,18.18,136,5,3.68,"axon-eventsourcing-4.10.3",false,2,6,"org.axonframework.eventsourcing,org.axonframework.eventsourcing.eventstore","EventStreamUtils,AbstractEventStore$Builder,AbstractEventStore,AbstractEventStorageEngine$Builder","org.axonframework.axonserver.connector.event.axon,org.axonframework.axonserver.connector","AxonServerEventStore$AxonIQEventStorageEngine,AxonServerEventStore,AxonServerEventStore$Builder,AxonServerEventStore$AxonIQEventStorageEngine$Builder",""
"axon-spring-boot-autoconfigure-4.10.3",9,2,22.22,75,6,8.0,"axon-configuration-4.10.3",false,1,4,"org.axonframework.config","TagsConfiguration,DefaultConfigurer,ConfigurationScopeAwareProvider,EventProcessingModule","org.axonframework.springboot,org.axonframework.springboot.autoconfig","TagsConfigurationProperties,AxonAutoConfiguration,InfraConfiguration,AxonJobRunrAutoConfiguration",""
"axon-server-connector-4.10.3",11,2,18.18,136,3,2.21,"axon-configuration-4.10.3",false,1,2,"org.axonframework.config","TagsConfiguration,Component","org.axonframework.axonserver.connector,org.axonframework.axonserver.connector.event.axon","AxonServerConnectionManager$Builder,ServerConnectorConfigurerModule,EventProcessorInfoConfiguration",""
"axon-spring-boot-autoconfigure-4.10.3",9,2,22.22,75,4,5.33,"axon-modelling-4.10.3",false,5,11,"org.axonframework.modelling.command,org.axonframework.modelling.saga","DefaultRepositorySpanFactory,DefaultRepositorySpanFactory$Builder,DefaultSagaManagerSpanFactory$Builder,DefaultSagaManagerSpanFactory","org.axonframework.springboot.autoconfig,org.axonframework.springboot.autoconfig.legacyjpa","AxonTracingAutoConfiguration,JdbcAutoConfiguration,JpaAutoConfiguration,JpaJavaxAutoConfiguration",""
"axon-test-4.10.3",8,2,25.0,87,12,13.79,"axon-modelling-4.10.3",true,3,7,"org.axonframework.modelling.command,org.axonframework.modelling.command.inspection","Repository,CommandTargetResolver,Aggregate,RepositoryProvider","org.axonframework.test.aggregate,org.axonframework.test.saga","AggregateTestFixture$DefaultRepositoryProvider,FixtureConfiguration,AggregateTestFixture,AggregateTestFixture$CreationalRepository",""
"axon-spring-boot-autoconfigure-4.10.3",9,2,22.22,75,5,6.67,"axon-modelling-4.10.3",true,4,5,"org.axonframework.modelling.command,org.axonframework.modelling.saga","RepositorySpanFactory,ResourceInjector,SagaManagerSpanFactory,SagaStore","org.axonframework.springboot.autoconfig,org.axonframework.springboot.autoconfig.legacyjpa","AxonTracingAutoConfiguration,InfraConfiguration,JpaJavaxAutoConfiguration,JpaAutoConfiguration",""
